Name,Roll_No,MATH101,PHY101,CHEM101,ENG101,CS101,MATH102,PHY102,EE101,ME101,CS102,MATH201,CS201,CS202,CS203,CS204,MATH202,CS205,CS206,CS207,CS208,MGT101,CS301,CS302,CS303,CS304,CS305,CS306,CS307,CS308,CS309,CS310,CS401,CS402,CS403,CS404,CS405,CS406,CS407,CS408,MGT201
Aditi Singh,UCSE21001,74.08,81.94,90.69,73.12,73.12,90.75,82.63,70.27,80.39,70.33,69.8,76.88,55.33,57.21,68.84,63.83,77.1,64.88,59.84,88.62,71.7,74.14,59.21,68.02,74.57,61.95,76.72,66.95,70.04,66.94,91.48,72.33,61.88,80.69,60.25,74.55,52.36,58.68,73.93,79.35
Vivaan Jain,UCSE21002,70.4,68.55,56.77,64.36,66.95,81.63,74.49,53.43,74.3,67.21,63.79,76.67,80.87,79.87,62.16,66.96,73.37,79.81,65.26,68.2,58.99,57.59,77.68,83.12,68.84,79.59,72.67,62.61,72.67,84.44,68.7,84.2,42.36,76.78,69.43,65.57,68.97,48.18,65.86,71.63
Myra Iyer,UCSE21003,82.05,79.15,82.22,96.39,90.52,81.44,91.87,87.71,96.42,79.71,82.96,82.31,71.6,89.2,88.85,85.79,83.39,71.58,81.53,82.31,77.71,83.62,89.28,100,86.98,87.81,83.99,65.55,84.47,85.34,100,82.31,87.25,83.89,72.55,95.66,91.25,91.65,74.64,97.76
Pari Patel,UCSE21004,58.55,74.58,42.77,47.01,53.67,47.14,36.67,52.86,41.55,56.91,42.48,67.18,43.85,48.46,59.81,38.87,53.45,64.25,35.1,53.02,53.78,58.5,38.31,37.47,55.9,53.65,52.68,53.64,43.38,52.5,53.11,42.53,68.34,54.42,37.76,56.24,39.43,57.05,60.76,40.97
Naina Singh,UCSE21005,85.19,89.28,100,78.61,73.52,71.67,72.4,79.79,83.97,83.33,88.33,80.19,94.6,77.41,100,85.82,70.99,68.85,84.39,77.33,86.7,83.79,78.33,70.59,63.91,74.6,87.12,80.7,66.1,80.29,82.41,69.22,79.6,78.64,66.63,81.64,83.17,88.39,88.1,63.78
Jiya Jain,UCSE21006,63.4,63.38,63.4,96.77,63.96,69.1,67.29,64.26,54.59,65.34,49.52,54.88,52.39,58.06,80.39,38.07,63.61,40.62,52.03,67.64,57.39,45.47,49.09,63.04,48.94,58.41,56.2,49.23,77.19,62.09,35.49,57.11,48.63,63.77,47.32,54.1,59.8,63.4,42.74,51.4
Preeti Menon,UCSE21007,57.27,81.46,67.85,51.19,72.98,84.52,73.63,48.11,58.46,75.97,55.72,67.24,70.55,53.53,62.21,29.89,52.06,59.77,49.82,78.62,48,57.4,63.11,76.21,47.44,73.43,61.4,51.49,65.92,63.29,55.3,61.5,56.95,61.94,67.42,76.66,47.92,81.63,40.78,58.78
Arnav Das,UCSE21008,79.37,70.33,74.48,71.63,70.67,84.56,79.63,69.13,85.06,79.13,83.69,81.86,67.27,69.96,83.03,81.16,74.85,76.23,87.84,69.14,80.53,72.54,72.38,85.55,82.81,82.69,87.11,74.27,80.88,70.96,77.3,72.26,74.53,79.51,65.38,94.48,63,60.92,84.64,80.98
Sneha Verma,UCSE21009,83.27,76.87,68.02,77.75,70.22,86.24,75.02,68.23,73.28,80.62,70.35,67.77,78.43,78.44,70.92,70.78,77.81,61.01,61.41,68.3,73.35,78.1,89.74,83.57,73.39,74.8,64.46,74.3,71.6,77.72,66.22,79.18,89.32,72.9,78.01,80.89,69.48,75.73,73.62,74.47
Vivaan Kumar,UCSE21010,60.47,65.2,74.74,69.82,81.76,52.05,68.45,61.56,81.62,51.64,50.83,53.23,37.98,53.97,51.63,60.23,62.14,77.49,68.23,52.95,49.74,63.14,45.02,76.54,70.02,53.53,40.59,71.26,56.58,70.1,41.78,51.23,57.28,57.69,52.72,63.45,46.05,55.3,57.93,61.87
Saanvi Iyer,UCSE21011,66.79,62.7,90.82,81.36,70.55,93.05,78.7,89.33,78.21,98.15,94.59,74.55,86.76,83.49,90.73,66.89,83.4,87.12,58.95,64.71,56.15,73.35,83.21,91.06,76.78,92.33,61.74,58.51,74.98,79.38,75.21,54.36,74.15,61.99,81.74,78.71,65.14,69.4,63.95,73.91
Kavya Roy,UCSE21012,71.1,86,75.66,73.03,79.89,70.11,74.93,68.48,100,80.81,72.96,82.1,78.84,77.75,86.1,87.04,74.16,73.7,76.71,56.44,64.31,92.63,95.41,76.47,84.73,82.07,100,89.66,77.18,68.91,62.4,80,70.4,63.74,71.5,67.15,94.33,86.28,77.38,92.26
