Name,Roll_No,MATH101,PHY101,CHEM101,ENG101,CS101,MATH102,PHY102,EE101,ME101,CS102
Priya Sharma,UCSE24001,91.29,100,89.42,87.13,84.75,84.48,72.11,90.23,87.18,95.04
Priya Joshi,UCSE24002,69,61.91,71.34,78,59.19,71,72.45,62.94,64.24,72.43
Rekha Mishra,UCSE24003,59.4,46.95,66.53,79.28,47.29,60.74,48.13,65.81,42.75,60.2
Manish Kulkarni,UCSE24004,56.95,48.71,67.25,50.65,64.54,55.08,57.38,60,50.91,60.63
Anika Shah,UCSE24005,80.08,99.58,100,79.7,73.31,90.38,81.89,100,87.71,79.34
Kiara Jain,UCSE24006,66.63,50.02,56.17,65.29,50.89,54.77,55.07,62.07,61.14,53.03
Manish Menon,UCSE24007,66.55,55.49,72.84,89.19,61.43,62.03,61.06,77.01,74.25,68.18
Gargi Chatterjee,UCSE24008,59.41,42.84,59.92,67.2,45.97,42.66,73.78,51.87,69.34,56.44
Ishita Patel,UCSE24009,71.94,58.72,68.88,63.74,54.35,70.43,64.42,65.49,54.95,82.97
Aadhya Desai,UCSE24010,89.66,76.97,62.73,99.55,79.41,72.03,83.69,91.19,79.29,92.31
Saanvi Verma,UCSE24011,71.73,75.76,92.07,55.37,81,67.69,77.23,79.01,78.41,76.47
Harsh Jain,UCSE24012,79.25,75.01,44.71,72.16,52.34,57.13,55.2,49.24,65.67,57.09
Tanvi Verma,UCSE24013,50.74,54.85,47.37,63.9,51.81,60.63,76.98,75.27,62.96,62.41
Naina Gupta,UCSE24014,97.27,88.78,77.8,96,100,85.24,94.47,87.92,89.72,66.68
Arjun Verma,UCSE24015,76.53,60.52,67.36,59.28,70.44,64.17,56.95,79.66,75.63,60.29
Harsh Rao,UCSE24016,80.85,81.9,58.53,85.54,69.78,71.4,100,77.99,71.11,52.92
Kavya Chauhan,UCSE24017,72.73,76.14,82.86,100,93.91,84.1,88.76,79.67,87.07,86.41
Sandeep Pillai,UCSE24018,90.8,86.07,77.5,88.54,80.21,69.81,76.59,81.47,89.73,78.79
Ananya Verma,UCSE24019,55.56,56.12,56.85,64.19,65.18,48.55,48.33,44.09,61.48,68.98
Kavya Kumar,UCSE24020,63.3,80.39,70.77,70.08,53.81,72.01,55.93,53.88,61.75,59.36
Sandeep Reddy,UCSE24021,52.43,76.43,78.12,47.37,76.63,58.24,74.91,65.66,66.63,64.49
Sai Roy,UCSE24022,71.65,90.12,95.06,91.21,100,78.26,93.12,82.48,95.88,83.47
Sai Mukherjee,UCSE24023,77.91,59.93,50.72,59.68,71.04,78.27,65.46,77.53,50.76,59.91
Anjali Iyer,UCSE24024,64.89,66.88,72.95,61.59,67.43,65.09,56.28,64.4,64.1,63.89
Neha Singh,UCSE24025,70.64,65.56,82.61,58.19,62.67,97.18,59,55.84,76.73,48.61
Shalini Das,UCSE24026,88.13,51.23,46.86,51.68,75.66,77.42,61.05,73.01,80.08,84.05
Avni Das,UCSE24027,43.53,58.34,62.28,63.95,64.67,77.23,78.79,64.33,77.03,69.62
Kunal Verma,UCSE24028,79.34,71,90.85,55.89,65.12,68.51,74.17,82.45,69.53,55.55
Nikhil Kumar,UCSE24029,87.16,60.19,79.57,63.71,72.96,70.08,87.2,80.28,66.25,87.91
Pooja Mukherjee,UCSE24030,55.6,44.15,48.64,57.34,57.51,65.16,50.97,54.86,47.42,53.61
Harsh Das,UCSE24031,73.79,56.74,78.09,78.42,67.97,61.43,89.03,79.19,71.98,62.9
Nidhi Gupta,UCSE24032,72.66,61.01,54.13,64.74,51.49,74.15,72.67,54.47,52.85,32.96
Rekha Joshi,UCSE24033,38.33,53.07,48.46,38.27,48.91,56.27,56.5,32.22,49.94,37.39
Saanvi Mukherjee,UCSE24034,88.16,71.34,72.66,75.71,57.79,83.18,77.09,89.52,68.84,73.63
Lakshmi Gupta,UCSE24035,41.38,39.6,61.38,44.44,52.66,47.11,38.23,49.24,56.91,38.84
Avni Joshi,UCSE24036,70.71,74.38,84.52,72.57,79.59,75.56,80,54.9,60.41,84.87
Neha Patel,UCSE24037,72.84,79.51,84.89,88.88,61.67,72.59,78.12,88.48,100,79.17
Gargi Banerjee,UCSE24038,56.64,65.83,53.7,43.55,62.2,58.75,41.86,55.93,62.09,63.94
Riya Kulkarni,UCSE24039,65.12,80.98,56.6,73.09,55,78.86,65.62,80.89,73.12,55.97
Rohan Chauhan,UCSE24040,100,95.42,78.98,83.54,88.05,79.06,100,87.54,59.06,89.49
Ojas Chauhan,UCSE24041,64.57,61.64,73.39,76.52,68.15,61.43,64.41,65.02,56.8,70.61
Sai Sharma,UCSE24042,90.42,87.57,68.16,83.22,65.51,81.48,69.35,64.29,77.32,47.77
Rajesh Roy,UCSE24043,46.71,49.31,44.8,32.69,40.31,51.9,53.81,47.83,59.56,51.96
Dev Singh,UCSE24044,57.73,46.5,59.45,71.65,67.38,74.05,57,73.49,58.1,74.75
Sai Menon,UCSE24045,76.31,83.99,67.3,71.42,82.13,67.41,55.53,90.17,64.04,70.33
Saanvi Pillai,UCSE24046,77.29,73.29,85.91,65.44,80.49,85.32,80.17,67.44,98.81,83.91
Sara Patel,UCSE24047,84.07,77.87,89.37,84.52,74.9,100,79.95,67.77,99.46,81.13
Rekha Agarwal,UCSE24048,44.55,79.62,49.31,62.79,71.33,65.92,61.11,44.69,53.61,63.58
Shalini Kumar,UCSE24049,62.09,66.87,69.68,47.79,82.02,67.23,59.54,70.45,83.21,45.17
Shalini Iyer,UCSE24050,43.01,68.72,70.45,66.41,60.25,45.8,70.03,80.85,60.39,70.7
Amit Desai,UCSE24051,55.25,46.75,43.06,43.08,46.75,54.01,37.06,46.21,49.77,39.19
Ananya Kulkarni,UCSE24052,82.53,84.37,81.28,100,96.59,81.19,100,92.57,93.13,87.12
Ramesh Menon,UCSE24053,63.88,55.06,78.67,47.81,75.87,58.89,63,68.34,53.7,68.65
Lakshmi Desai,UCSE24054,29.81,27.77,24.47,34.86,40.87,43.54,38.92,29.85,40.2,37.75
Nikhil Mishra,UCSE24055,88.5,81.04,71.76,74.2,75.23,77.08,82.91,87.38,79.72,80.39
Divya Pillai,UCSE24056,66.06,61.97,53.67,64.27,75.95,63.69,68.34,75.38,75.93,59.92
Aarav Mukherjee,UCSE24057,92.74,70.17,73.23,93.38,80,58.77,66.97,78.47,69.33,76.83
Deepak Menon,UCSE24058,84.51,66.98,80.61,84.18,84.23,72.24,49.76,74,79.87,68.58
Riya Chauhan,UCSE24059,99.03,96.12,100,93.77,65.51,84.94,100,81.86,87.7,79.49
Gargi Singh,UCSE24060,100,82.07,92.38,84.1,97.06,95.5,98.52,93.73,100,80.13
Shalini Patel,UCSE24061,45.04,33.29,34.05,38.96,39.75,38.93,53.65,43.41,46.68,57.42
