Name,Roll_No,Batch,Semester,MATH101,PHY101,CHEM101,ENG101,CS101,MATH102,PHY102,EE101,ME101,CS102,MATH201,CS201,CS202,CS203,CS204,MATH202,CS205,CS206,CS207,CS208,MGT101,CS301,CS302,CS303,CS304,CS305,CS306,CS307,CS308,CS309,CS310,CS401,CS402,CS403,CS404,CS405,CS406,CS407,CS408,MGT201
Aditi Singh,2021001,2021-25,1,76.07,83.93,92.68,75.11,75.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditi Singh,2021001,2021-25,2,,,,,,100.0,88.99,99.11,89.05,89.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditi Singh,2021001,2021-25,3,,,,,,,,,,,54.5,56.38,68.01,63.5,76.77,,,,,,,,,,,,,,,,,,,,,,,,,
Aditi Singh,2021001,2021-25,4,,,,,,,,,,,,,,,,42.26,71.04,54.12,57.05,42.13,50.94,,,,,,,,,,,,,,,,,,,
Aditi Singh,2021001,2021-25,5,,,,,,,,,,,,,,,,,,,,,,60.15,75.42,65.66,68.75,65.65,,,,,,,,,,,,,,
Aditi Singh,2021001,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,97.65,87.21,100.0,85.58,99.87,,,,,,,,,
Aditi Singh,2021001,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.32,42.57,47.99,42.32,39.45,,,,
Aditi Singh,2021001,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,58.29,60.88,76.05
Vivaan Jain,2021002,2021-25,1,57.52,78.4,71.3,68.39,81.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivaan Jain,2021002,2021-25,2,,,,,,94.78,77.07,82.37,88.78,95.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivaan Jain,2021002,2021-25,3,,,,,,,,,,,60.96,51.75,50.85,70.94,76.37,,,,,,,,,,,,,,,,,,,,,,,,,
Vivaan Jain,2021002,2021-25,4,,,,,,,,,,,,,,,,78.96,72.54,62.47,72.53,84.3,68.56,,,,,,,,,,,,,,,,,,,
Vivaan Jain,2021002,2021-25,5,,,,,,,,,,,,,,,,,,,,,,67.27,100.0,94.34,90.48,94.39,,,,,,,,,,,,,,
Vivaan Jain,2021002,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,37.99,43.76,54.97,35.0,32.1,,,,,,,,,
Vivaan Jain,2021002,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.63,65.76,57.18,67.61,63.44,,,,
Vivaan Jain,2021002,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.51,81.25,80.61,69.89
Myra Iyer,2021003,2021-25,1,77.05,74.49,72.1,60.29,70.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Iyer,2021003,2021-25,2,,,,,,56.84,63.25,68.9,83.72,66.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Iyer,2021003,2021-25,3,,,,,,,,,,,73.12,54.68,73.6,74.47,98.5,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Iyer,2021003,2021-25,4,,,,,,,,,,,,,,,,70.13,66.77,55.43,78.54,74.63,75.02,,,,,,,,,,,,,,,,,,,
Myra Iyer,2021003,2021-25,5,,,,,,,,,,,,,,,,,,,,,,70.39,42.34,62.23,78.26,46.45,,,,,,,,,,,,,,
Myra Iyer,2021003,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,56.47,46.0,62.19,50.88,,,,,,,,,
Myra Iyer,2021003,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.91,92.6,69.27,73.88,85.24,,,,
Myra Iyer,2021003,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.81,64.61,35.46,53.38
Pari Patel,2021004,2021-25,1,81.72,61.53,60.69,79.12,76.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pari Patel,2021004,2021-25,2,,,,,,77.22,66.96,76.08,76.69,66.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pari Patel,2021004,2021-25,3,,,,,,,,,,,100.0,86.07,100.0,88.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Pari Patel,2021004,2021-25,4,,,,,,,,,,,,,,,,79.17,97.01,91.51,95.6,100.0,84.93,,,,,,,,,,,,,,,,,,,
Pari Patel,2021004,2021-25,5,,,,,,,,,,,,,,,,,,,,,,49.8,50.54,57.92,62.11,61.46,,,,,,,,,,,,,,
Pari Patel,2021004,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,82.54,96.94,79.76,100.0,88.66,,,,,,,,,
Pari Patel,2021004,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.43,61.97,54.91,64.28,61.88,,,,
Pari Patel,2021004,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.44,53.76,64.44,77.47
Naina Singh,2021005,2021-25,1,60.75,74.94,77.06,64.37,74.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naina Singh,2021005,2021-25,2,,,,,,59.44,74.45,76.48,81.7,81.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naina Singh,2021005,2021-25,3,,,,,,,,,,,39.96,54.49,54.47,54.49,87.86,,,,,,,,,,,,,,,,,,,,,,,,,
Naina Singh,2021005,2021-25,4,,,,,,,,,,,,,,,,89.92,88.1,85.08,75.41,86.15,70.84,,,,,,,,,,,,,,,,,,,
Naina Singh,2021005,2021-25,5,,,,,,,,,,,,,,,,,,,,,,61.59,67.27,89.59,47.78,73.31,,,,,,,,,,,,,,
Naina Singh,2021005,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09,56.7,46.45,35.03,38.66,,,,,,,,,
Naina Singh,2021005,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.89,82.36,80.65,73.68,100.0,,,,
Naina Singh,2021005,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,81.37,72.89,88.03
Jiya Jain,2021006,2021-25,1,56.96,63.16,66.77,46.11,54.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiya Jain,2021006,2021-25,2,,,,,,56.34,80.53,66.93,50.27,72.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiya Jain,2021006,2021-25,3,,,,,,,,,,,100.0,86.64,96.99,100.0,94.76,,,,,,,,,,,,,,,,,,,,,,,,,
Jiya Jain,2021006,2021-25,4,,,,,,,,,,,,,,,,84.4,67.39,76.06,44.24,66.41,74.13,,,,,,,,,,,,,,,,,,,
Jiya Jain,2021006,2021-25,5,,,,,,,,,,,,,,,,,,,,,,67.61,36.98,46.88,52.59,65.7,,,,,,,,,,,,,,
Jiya Jain,2021006,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,60.09,48.56,38.65,53.08,50.45,,,,,,,,,
Jiya Jain,2021006,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.69,57.14,62.13,67.62,76.86,,,,
Jiya Jain,2021006,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.76,31.91,49.91,57.32
Tanvi Kumar,2021007,2021-25,1,67.99,72.13,69.28,68.32,82.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanvi Kumar,2021007,2021-25,2,,,,,,68.43,84.35,78.43,83.48,81.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanvi Kumar,2021007,2021-25,3,,,,,,,,,,,51.96,65.04,63.67,57.36,58.74,,,,,,,,,,,,,,,,,,,,,,,,,
Tanvi Kumar,2021007,2021-25,4,,,,,,,,,,,,,,,,83.25,94.64,87.14,86.99,100.0,97.42,,,,,,,,,,,,,,,,,,,
Tanvi Kumar,2021007,2021-25,5,,,,,,,,,,,,,,,,,,,,,,95.26,82.41,89.02,79.1,85.44,,,,,,,,,,,,,,
Tanvi Kumar,2021007,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,69.02,74.0,59.87,88.97,57.99,,,,,,,,,
Tanvi Kumar,2021007,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.37,59.7,58.03,58.07,51.66,,,,
Tanvi Kumar,2021007,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3,49.77,66.29,55.07
Harsh Shah,2021008,2021-25,1,54.4,61.75,51.98,49.4,60.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harsh Shah,2021008,2021-25,2,,,,,,68.61,68.96,75.99,59.19,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harsh Shah,2021008,2021-25,3,,,,,,,,,,,57.09,62.33,73.98,67.8,57.62,,,,,,,,,,,,,,,,,,,,,,,,,
Harsh Shah,2021008,2021-25,4,,,,,,,,,,,,,,,,59.69,69.53,66.83,72.94,61.44,74.91,,,,,,,,,,,,,,,,,,,
Harsh Shah,2021008,2021-25,5,,,,,,,,,,,,,,,,,,,,,,91.9,97.01,99.89,88.98,95.23,,,,,,,,,,,,,,
